Name,Speed,Control,Stiffness,Overall,Price,Ratings
Adidas Strike Wood 7,8.5,9.0,5.0,9.5,$48,1
Adidas Synchro Plus,4.0,4.0,3.0,4.0,$39,1
Adidas Synchro Unity,7.0,10.0,5.0,9.3,$35,1
Adidas V1.1 ALL,8.0,8.7,6.2,8.8,$130,5
Adidas V1.3 OFF-,8.4,8.7,6.0,9.5,$110,7
Adidas V1.5 OFF-,8.5,8.4,6.0,8.5,$110,8
Air Limba,,,,,$49,0
Air Touch01 All Wood,7.0,9.0,5.0,8.0,$16,1
Alpha Rosen,9.0,9.0,7.0,9.0,$80,1
Alser Allround 5,7.4,8.6,5.0,8.2,$55,5
Alser Alser 7,8.9,8.9,5.0,9.2,$70,4
Alser Carbon 9,9.4,9.0,6.3,9.4,$100,3
American Hinoki Bamboo,,,,,$55,0
American Hinoki WRC-9mm,9.3,9.3,5.0,9.3,$75,3
Andro Blax ALL+,8.5,7.0,5.0,7.7,$45,4
Andro Blax OFF,9.4,6.5,6.5,7.6,$43,4
Andro Carbon Compact OFF-,8.2,9.0,6.0,9.0,,2
Andro Core 7 OFF,,,,,$60,0
Andro Core 7 OFF+,9.8,9.7,6.5,9.9,$45,4
Andro CS5 ALL+,,,,,$40,0
Andro CS5 OFF-,,,,,$40,0
Andro CS7 Pro,7.0,9.0,10.0,,$59,2
Andro CS7 Tour,8.9,9.5,7.0,9.5,$59,3
Andro CS7 Velocity,9.2,7.6,6.5,7.7,$55,6
Andro CSV ALL+,8.1,8.9,5.0,9.1,$39,9
Andro CSV Carbon OFF++,9.1,8.8,6.4,9.4,$77,9
Andro CSV OFF,9.0,9.4,6.0,9.4,$49,4
Andro CSV OFF+,9.1,9.1,5.4,9.0,$60,28
Andro CSV OFF-,8.3,9.6,5.5,9.5,$49,4
Andro Defcon DEF,,,,,$66,0
Andro Fibercomp DEF,7.5,9.1,5.1,9.0,$60,17
Andro Flaxonite Cruiser ALL,,,,,$61,0
Andro Flaxonite Driver OFF,8.9,9.5,5.7,9.5,$61,3
Andro HiLoom,9.2,8.6,5.0,9.0,$134,2
Andro Inizio Off,9.0,9.5,7.0,9.0,$20,1
Andro J. M. Saive Kinetic OFF,7.5,7.5,6.0,8.3,$45,2
Andro J. M. Saive Kinetic OFF-,8.0,8.5,5.0,9.2,$45,3
Andro Kanter ALL+,7.2,8.8,4.0,8.5,$56,2
Andro Kanter CO OFF,,,,,$80,0
Andro Kanter Explorer OFF,9.5,9.5,6.3,9.5,$55,4
Andro Kanter FO OFF,,,,,$75,0
Andro Kanter OFF+,9.3,9.2,6.0,9.4,$45,6
Andro Kinetic ALL,8.0,9.0,,9.0,$47,2
Andro Kinetic ALL+,8.3,9.4,6.0,9.4,$43,2
Andro Kinetic CF Carbo-Aramid OFF,9.0,8.6,6.8,9.0,$100,4
Andro Kinetic CF Carbon OFF+,9.3,7.8,5.0,8.5,$90,4
Andro Kinetic CF Carbon OFF-,,,,,$85,0
Andro Kinetic CF Kevlar-Carbon OFF,8.8,8.0,7.4,9.4,$70,7
Andro Kinetic CF Light ALL+,7.5,10.0,5.0,,$79,1
Andro Kinetic CF Light OFF,8.8,9.5,5.7,8.9,$79,3
Andro Kinetic CF Light OFF+,9.4,8.5,6.6,9.5,$80,7
Andro Kinetic CF Light OFF-,,,,,$65,0
Andro Kinetic CF Titanium ALL+,8.0,9.0,7.0,9.3,$100,4
Andro Kinetic Christian Suss Hinoki ALL+,8.2,8.8,5.0,8.3,$47,3
Andro Kinetic Christian Suss Hinoki OFF,8.4,8.0,5.5,8.9,$47,4
Andro Kinetic Explorer OFF+,8.5,6.8,5.7,7.0,$45,4
Andro Kinetic OFF,,,,,$45,0
Andro Kinetic OFF+,,,,,$45,0
Andro Kinetic Record ALL+,8.3,9.6,5.0,8.5,$59,1
Andro Kinetic Record OFF,8.9,9.2,2.5,9.4,$59,2
Andro Kinetic Record OFF+,9.5,9.0,7.0,9.0,$59,1
Andro Kinetic Record OFF-,8.0,9.1,4.0,9.3,$59,2
Andro Kinetic Supreme ALL,7.5,8.3,4.4,8.7,$54,9
Andro Kinetic Supreme ALL+,8.3,9.2,5.8,9.0,$58,5
Andro Kinetic Supreme Carbon OFF,9.0,7.7,8.0,8.0,$100,3
Andro Kinetic Supreme Carbon OFF+,9.3,7.3,8.5,7.0,$86,2
Andro Kinetic Supreme OFF,8.2,9.0,6.0,8.7,$58,7
Andro Kinetic Supreme OFF-,8.5,8.8,5.7,8.8,$55,14
Andro Kinetic Supreme OFF- Kiso Hinoki Zylon,8.7,9.5,5.6,9.3,$135,5
Andro Kinetic Supreme Zylon/Kiso-Hinoki OFF-,8.2,8.8,6.0,9.2,$135,8
Andro Ligna ALL+,8.1,9.5,4.6,9.1,$102,6
Andro Ligna FR OFF,9.6,9.6,7.0,9.4,$150,9
Andro Ligna OFF,9.2,9.5,6.5,9.4,$150,16
Andro Ligna OFF+,9.5,9.4,5.7,9.5,$150,10
Andro Ligna Tour OFF,9.7,9.3,6.3,9.6,$140,7
Andro Nightmare ALL+,,,,,$30,0
Andro Nightmare OFF,8.5,8.5,5.0,8.8,$50,1
Andro Novacell ALL/S,,,,,$55,0
Andro Novacell OFF,9.3,10.0,5.0,10.0,$47,2
Andro Novacell OFF/S,9.8,9.8,7.0,9.5,$55,2
Andro Parade DEF,7.0,8.5,3.0,8.8,$69,1
Andro Performance OFF,10.0,8.0,5.0,9.0,$45,1
Andro ProLoom,8.8,9.9,4.0,9.6,$134,2
Andro Super Core ALL,,,,,$58,0
Andro Super Core ALL+,6.0,9.0,5.0,7.5,$25,2
Andro Super Core Carbon Light (CL) ALL+,6.8,8.7,4.6,8.7,$60,6
Andro Super Core Carbon Light (CL) OFF,9.1,8.8,6.5,9.0,$50,9
Andro Super Core Carbon Light (CL) OFF+,9.5,8.0,8.2,9.1,$60,8
Andro Super Core Carbon OFF,,,,,$60,0
Andro Super Core Cell ALL,7.2,9.3,5.0,9.4,$35,1
Andro Super Core Cell ALL+,7.3,9.0,3.7,8.8,$54,7
Andro Super Core Cell Carbon OFF,8.3,9.1,6.6,9.0,$87,9
Andro Super Core Cell OFF,9.1,9.0,5.1,9.2,$65,18
Andro Super Core Cell OFF+,9.4,8.8,6.3,9.3,$65,14
Andro Super Core Cell OFF-,7.9,8.1,5.3,8.0,$54,8
Andro Super Core OFF,,,,,$40,0
Andro Super Core OFF-,8.1,7.6,6.0,8.3,$58,2
Andro Temper Tech ALL+,7.9,9.5,6.3,9.3,$51,42
Andro Temper Tech OFF,9.0,9.2,7.1,9.3,$70,14
Andro Temper Tech OFF+,9.5,9.2,7.3,9.5,$62,30
Andro Temper Tech OFF-,8.5,9.3,4.9,9.1,$45,31
Andro Timber 5 ALL/S,,,,,$45,0
Andro Timber 5 ALLS Small FL,,,,,$45,0
Andro Timber 5 DEF,,,,,$55,0
Andro Timber 5 OFF,8.5,10.0,7.0,8.8,$50,1
Andro Timber 7 OFF,,,,,$55,0
Andro Timber 7 OFF/S,9.9,9.8,7.0,9.8,$55,1
Andro TP_Ligna ALL,,,,,$110,0
Andro TP_Ligna Ci Off,9.5,10.0,5.0,9.5,$130,1
Andro TP_Ligna CO OFF,9.9,9.9,7.0,9.7,$150,3
Andro TP_Ligna OFF,,,,,$150,0
Andro TP_Ligna OFF/S,8.5,9.0,5.0,8.9,$150,2
Andro Treiber CI OFF,9.3,9.7,5.7,9.3,$103,8
Andro Treiber CO OFF,9.5,9.6,6.5,9.6,$85,14
Andro Treiber CO OFF/S,,,,,$89,0
Andro Treiber FI OFF,9.1,9.4,7.0,9.4,$96,3
Andro Treiber FO OFF,9.8,9.9,7.0,9.9,$96,4
Andro Treiber FO OFF/S,10.0,9.8,7.0,10.0,$85,1
Andro Treiber G,9.0,8.1,6.0,8.5,$75,4
Andro Treiber H,8.9,9.2,5.3,9.3,$88,15
Andro Treiber K,9.0,9.5,4.8,9.5,$80,34
Andro Treiber Q,9.2,9.5,5.4,9.4,$90,21
Andro Treiber Z,9.3,9.4,5.9,9.5,$125,57
Andro Tronum Aratox OFF+,9.4,9.3,7.0,9.3,$71,5
Andro Tronum Carbotox OFF,8.7,9.1,7.0,9.1,$71,4
Andro Wanokiwami AO OFF,8.8,9.6,5.4,9.4,$150,21
Andro Wanokiwami Midori DEF,8.0,10.0,5.0,9.7,$170,2
Andro Wanokiwami Ren OFF,9.7,9.5,6.5,9.5,$225,8
Animus Diana Rosewood,,,,,$100,0
Animus Iupiter 5,,,,,$100,0
Animus Iupiter Serie 2,,,,,$71,0
Animus Mars 7,,,,,$100,0
Animus TERMINUS SERIES 1 ZLC Off+,,,,,$200,0
Animus TERMINUS SERIES 1 ZLC | OFF+,7.8,7.8,4.3,8.1,$200,4
Animus Vantaggio,,,,,$155,0
Animus Venus 7,,,,,$125,0
Animus Victoria,6.3,8.0,5.7,8.0,$133,3
Animus Victoria 2,7.5,8.5,7.0,8.5,$133,1
Animus Virtus 5,6.0,7.5,5.0,6.8,$95,2
Animus Vulcanus 5,,,,,$100,0
Ariex Excellent Hinoki,9.6,9.6,7.1,9.4,$200,7
Ariex Ferocious 765S,,,,,,0
Ariex Grampus Evolution,9.6,9.7,5.7,9.6,$95,6
Ariex Grampus Wisdom,9.6,10.0,5.0,9.9,$95,5
Ariex Hinoki 1-Ply,,,,,$60,0
Ariex Sprint Carbon,,,,,$70,0
Ariex Standard Hinoki,8.4,9.1,7.0,8.6,$85,3
Ariex Stormed 568S,,,,,$80,0
Armstrong Castelian Hinoki 1-ply 701,,,,,$135,0
Armstrong Castelian Hinoki 1-ply 702,,,,,$135,0
Armstrong Castelian Hinoki 1-ply 703,,,,,$135,0
Armstrong Val Attack 40＆44 L,,,,,$74,0
Avalox AVX-V1,7.0,9.0,3.0,8.0,$55,1
Avalox AVX-V2,,,,,$56,0
Avalox Blue Thunder 550 (BT550),7.6,8.7,3.9,8.7,$65,16
Avalox Blue Thunder 555 (BT555),8.1,8.5,4.8,9.5,$65,9
Avalox Blue Thunder 777 (BT777),9.0,8.5,6.0,9.1,$99,14
Avalox Edge,,,,,$59,0
Avalox Edge 7,,,,,$62,0
Avalox Hado,9.0,8.6,6.3,8.9,$145,7
Avalox Hinoki-Aramid,,,,,$135,0
Avalox J-Aramid,9.4,8.9,8.3,9.0,$125,11
Avalox J-Power,9.2,8.8,6.9,9.1,$90,11
Avalox J-Tech,8.4,9.6,5.4,9.5,$95,9
Avalox Ma Wenge C555 Carbon,8.9,9.0,5.2,9.3,$92,10
Avalox Monoset,10.0,8.0,10.0,10.0,$110,2
Avalox Nittaku Avalox P777 FL,9.7,9.8,5.0,9.9,$200,2
Avalox P500,8.3,9.1,4.6,9.4,$65,26
Avalox P600,,,,,$60,0
Avalox P700,8.9,8.9,5.7,9.5,$77,29
Avalox P900,9.1,9.3,5.0,9.4,$100,2
Avalox Ruiba,,,,,$100,0
Avalox Speed 90,,,,,$205,0
Avalox Tosios,9.1,9.0,5.0,9.8,$90,2
Avalox Triton,,,,,$82,0
Banda Allround,,,,,$55,0
Banda Dacota,9.0,9.0,6.0,9.2,$100,2
Banda Gemini Off-,8.0,8.0,5.0,8.0,$66,1
Banda Pegasus,6.1,8.3,4.5,7.3,$38,4
Banda Taurus WRB,,,,,$65,0
BBC 8-9-8,,,,,$115,0
BBC 9-10-9,8.5,9.6,7.0,9.3,$115,4
BBC All Around,6.7,9.2,5.7,9.3,$55,3
BBC Anvil,8.5,8.0,10.0,8.5,$115,1
BBC CarboFlex Alpha,,,,,$105,0
BBC Excalibur,8.0,8.5,5.0,9.0,$130,1
BBC Fiddler,8.0,9.0,3.0,10.0,$85,1
BBC Flash Drive 3.0,8.7,8.0,3.0,9.0,$75,1
BBC Ghost Hinoki,9.0,8.0,5.0,9.0,$150,1
BBC NINE,9.2,9.5,5.7,9.7,$175,4
BBC Quad-Trip,,,,9.0,$135,1
BBC Ramin,,,,,$85,0
BBC Ramin Cross,8.5,9.0,3.0,9.0,$85,1
BBC Single-ply Cypress,10.0,9.8,8.0,10.0,$75,4
BBC Three-ply Cypress,,,,,$85,0
BBC TriFlex Carbon,10.0,10.0,5.0,10.0,$135,3
Best of Five Carbon 2000 Allround,,,,,$70,0
Best of Five Carbon 2000 Defence,4.5,9.5,5.0,9.0,$70,2
Best of Five Carbon Light Allround,8.4,8.2,7.0,8.4,$63,2
Best of Five Dynatec Ti,,,,,$63,0
Best of Five Exact ALL+,,,,,$28,0
Best of Five Impuls OFF-,,,,,$28,0
Best of Five Kevlar Light,,,,,$63,0
Best of Five Twinblade,,,,,$65,0
Best of Five V3 ALL+,7.0,9.8,3.0,9.3,$50,1
Best of Five V5 OFF,9.4,8.8,6.0,9.1,$55,2
BLutenkirsche 1 Ply B3015,,,,,$80,0
BLutenkirsche B 4007,,,,,$50,0
BLutenkirsche B-3002,8.5,9.5,3.0,9.5,$15,1
BLutenkirsche B-3003,8.0,8.0,5.0,7.0,$15,1
BLutenkirsche B-3004,9.0,8.0,7.0,8.0,$25,1
BLutenkirsche B-3008,8.0,8.5,5.0,8.5,$20,1
BLutenkirsche B-CARBON,8.5,7.9,7.0,6.0,$17,2
BLutenkirsche Black Mamba Carbon Offensive,,,,,$35,0
BLutenkirsche Black Mamba Offensive Super Light,,,,,$30,0
BLutenkirsche Chinese Offensive,,,,,$29,0
BLutenkirsche Ice Fire,,,,,$25,0
BLutenkirsche Mamba Strike Special Edition,7.2,9.5,5.0,9.0,$25,1
BLutenkirsche Mamba Venom Offensive,,,,,$25,0
BLutenkirsche Power Carbon,10.0,8.0,7.0,9.5,$40,2
Bomb Everest,10.0,9.7,5.0,9.8,$230,3
Butterfly Adolescen,8.4,8.8,5.0,8.1,$62,2
Butterfly Aeolus S,9.2,8.0,7.0,9.2,$90,6
Butterfly All - Supa,8.0,9.0,5.0,9.0,$45,1
Butterfly All Hinoki 5,8.0,8.5,4.5,8.2,$50,5
Butterfly All Hinoki 7,8.8,8.2,5.0,8.9,$60,5
Butterfly AMC 3000,5.0,6.0,5.0,6.0,$29,1
Butterfly Amultart ZL Carbon,9.6,8.7,6.8,9.5,$230,47
Butterfly Andrzej Grubba,7.0,8.9,3.7,8.7,$53,22
Butterfly Andrzej Grubba 15,7.5,8.0,3.0,9.0,$53,1
Butterfly Andrzej Grubba Carbon,8.1,9.1,7.7,9.1,$60,10
Butterfly Apolonia ZLC,9.4,8.3,7.5,8.3,$269,4
Butterfly Arylate,,,,,,0
Butterfly Balsa Carbo X3,8.0,8.4,5.5,7.8,$65,4
Butterfly Balsa Carbo X5,8.3,8.4,4.6,8.8,$85,54
Butterfly Balsa OFF,8.5,8.7,4.5,8.7,$69,4
Butterfly Bastian Steger,7.4,8.9,5.0,8.0,$52,4
Butterfly Bazelart,7.9,8.9,4.0,8.0,$99,3
Butterfly Biside,8.0,9.0,3.0,9.5,$100,1
Butterfly Bolgard,,,,,$90,0
Butterfly Boll Allround,7.6,8.9,5.0,8.5,$60,4
Butterfly Boll Allround XXS,,,,,$64,0
Butterfly Boll Control,,,,,$55,0
Butterfly Boll Offensive,8.4,7.8,5.0,8.2,$65,4
Butterfly Boll TriCarbon,9.7,7.1,8.2,9.1,$115,38
Butterfly Brisker Light,,,,,$55,0
Butterfly Chiang Peng Lung,9.5,8.5,7.0,9.5,$180,1
Butterfly Chinese AL,9.0,8.3,7.0,10.0,$95,3
Butterfly Chinese EX,9.1,8.6,5.0,9.1,$64,1
Butterfly Chinese Real,7.7,8.1,5.7,7.7,$50,3
Butterfly Chinese Tamca ULC,9.0,8.4,5.9,9.2,$135,8
Butterfly Chuan Chih Yuan,7.3,7.8,6.5,8.0,$75,4
Butterfly Chuan Chih Yuan Gold Medalist Limited Edition,9.0,9.0,7.0,9.0,$250,2
Butterfly Clarty,,,,,,0
Butterfly Clearfield,8.6,7.2,7.0,7.7,$48,2
Butterfly Cofferlait Arylate Carbon,8.0,8.7,6.2,8.7,$117,8
Butterfly Coleus,,,,,,1
Butterfly Cresail,8.6,9.1,6.0,8.5,$120,2
Butterfly Cryptate,8.2,8.5,8.5,,$65,2
Butterfly Cutlass,6.3,8.3,6.0,8.5,$50,3
Butterfly Cypress Alpha,,,,,$100,0
Butterfly Cypress Alpha-R,8.0,9.0,5.0,8.0,$110,1
Butterfly Cypress G-Max,10.0,9.0,7.0,10.0,$359,1
Butterfly Cypress JP I-S,,,,,$226,0
Butterfly Cypress JP II-S,,,,,$189,0
Butterfly Cypress JP III-S,,,,,$135,0
Butterfly Cypress Max,9.5,8.8,6.7,8.9,$135,4
Butterfly Cypress T-Max S,,,,,$149,0
Butterfly Cypress V-Max,9.0,7.0,0.0,9.0,$236,1
Butterfly Cypress-R,8.0,9.0,7.0,9.0,$110,1
Butterfly Cypress-S,9.3,8.5,4.6,9.3,$95,7
Butterfly Defence 2 (II),7.5,9.2,6.1,9.3,$50,15
Butterfly Defence 4 (IV),7.0,10.0,5.0,10.0,$77,1
Butterfly Defence Alpha,4.3,9.2,1.6,8.3,$55,11
Butterfly Defence Pro,7.5,7.8,5.0,8.3,$100,4
Butterfly Defence X,6.7,8.3,2.5,8.2,$96,4
Butterfly Defense 3 (III),,,,,$70,0
Butterfly Dillfer,,,,,$100,0
Butterfly Diode,6.0,9.0,3.5,7.5,$100,2
Butterfly Diode V,7.5,9.3,6.0,9.0,$106,2
Butterfly Ekstaule,,,,,$150,0
Butterfly Ester,8.8,9.0,6.0,9.5,$42,2
Butterfly Extra Wing,6.3,9.0,0.0,8.5,$78,3
Butterfly Feth,6.6,8.4,4.3,8.0,$40,4
Butterfly Finewood OFF,8.0,10.0,10.0,,$79,1
Butterfly Finewood Off-,,,,,$40,0
Butterfly Firehand,9.3,6.9,6.3,7.8,$65,11
Butterfly FREITAS ALC,9.0,9.5,5.7,9.6,$199,19
Butterfly Fukuhara Ai Pro ZLF,8.8,9.5,4.5,9.4,$239,13
Butterfly Fukuhara Ai Special,9.2,8.3,4.0,9.0,$120,3
Butterfly Garaydia ALC,8.8,8.7,5.4,8.9,$145,11
Butterfly Garaydia Revolver-R,,,,,$150,0
Butterfly Garaydia T5000,9.3,8.6,8.7,9.3,$162,9
Butterfly Garaydia ZLC,9.1,8.9,6.6,9.2,$140,16
Butterfly Gergely 21,9.4,8.1,9.6,9.1,$250,11
Butterfly Gergely Alpha,9.4,8.4,6.9,9.0,$121,17
Butterfly Gergely Carbon,9.2,8.0,8.8,9.0,$98,30
Butterfly Gionis Carbon All+,8.4,9.3,5.0,9.0,$60,4
Butterfly Gionis Carbon Def,6.7,9.3,4.3,7.2,$65,4
Butterfly Gionis Carbon Off,8.4,8.8,5.0,9.1,$74,5
Butterfly Gray X,,,,,,0
Butterfly Grubba Carbon,7.2,7.1,6.7,7.0,$80,3
Butterfly Grubba Pro,6.3,9.2,3.5,8.6,$50,8
Butterfly Grubba Variant,7.1,8.9,5.5,9.0,$45,4
Butterfly Guo Yue,5.5,6.8,2.7,6.0,$80,4
Butterfly H.P. Courpierce R,10.0,10.0,0.0,10.0,$60,1
Butterfly H.P.Neutrino,,,,,$60,0
Butterfly H.S. Cryzer,8.6,8.3,3.8,9.4,$100,5
Butterfly Hadraw JPV-R,,,,,$108,0
Butterfly Hadraw JPV-S,,,,,$108,0
Butterfly Hadraw Revolver-R,7.0,6.0,7.0,6.0,$135,1
Butterfly Hadraw Shield,6.2,8.7,5.0,9.0,$135,1
Butterfly Hadraw SK,7.4,7.9,5.0,8.0,$108,5
Butterfly Hadraw SR,7.9,7.2,6.0,8.8,$110,2
Butterfly Hadraw VK,8.4,8.8,4.6,9.3,$100,5
Butterfly Hadraw VR,9.2,8.2,9.0,8.4,$121,4
Butterfly Harimoto Tomokazu Innerforce ALC,7.8,9.0,4.2,8.6,$251,5
Butterfly Haruvatart,,,,,$125,0
Butterfly Haruvatart JP Round,10.0,8.0,7.0,9.8,$185,2
Butterfly Haruvatart ZL Carbon,9.8,7.9,7.0,9.5,$120,3
Butterfly Hinoki Pen Winner II,,,,,$80,0
Butterfly Hinoki Shake 5,5.7,9.7,4.0,9.4,$85,3
Butterfly Hinoki Shake Speedy,9.3,8.5,7.0,,$100,1
Butterfly Hinoki Shake Swift,8.0,9.0,3.0,,$80,1
Butterfly Holycrown,9.1,8.4,6.0,9.6,$135,4
Butterfly HP Winner,8.0,7.8,5.0,,$60,1
Butterfly Innerforce,,,,,,0
Butterfly Innerforce AL,8.2,8.6,4.5,9.0,$150,20
Butterfly Innerforce ALC,8.8,9.1,5.4,9.4,$135,33
Butterfly Innerforce Layer AL,8.3,8.8,3.0,9.3,$115,3
Butterfly Innerforce Layer ALC,9.1,9.5,4.3,9.6,$170,32
Butterfly Innerforce Layer ALC.S,8.5,9.3,4.1,9.1,$150,10
Butterfly Innerforce Layer ZLC,9.1,9.2,5.3,9.4,$215,10
Butterfly Innerforce Layer ZLF,8.2,9.7,3.3,9.4,$189,9
Butterfly Innerforce T5000,9.3,8.2,6.9,8.8,$150,26
Butterfly Innerforce ULC,9.0,8.9,5.8,9.2,$125,11
Butterfly Innerforce ZLC,9.2,8.9,4.8,9.4,$275,60
Butterfly Innerforce ZLF,8.9,9.0,3.8,9.3,$170,27
Butterfly Innershield Layer ZLF,6.8,9.5,3.0,9.1,$189,2
Butterfly Innershield ZLF,6.7,9.4,2.5,8.5,$184,7
Butterfly Iolite,9.0,8.3,6.7,9.0,$103,8
Butterfly Iolite Neo,9.5,8.5,5.7,9.4,$155,15
Butterfly Ishlion,9.0,8.2,6.7,8.8,$150,16
Butterfly Jonyer Hinoki,7.4,8.6,3.6,8.3,$170,22
Butterfly Jonyer Hinoki Special,7.5,8.2,4.0,8.4,$134,6
Butterfly Joo Se Hyuk,7.3,8.8,6.1,9.1,$95,31
Butterfly Jun Mizutani,9.5,8.8,6.0,9.4,$249,39
Butterfly Jun Mizutani Super ZLC,9.6,8.9,6.7,9.4,$374,24
Butterfly Jun Mizutani ZLC,9.1,9.0,5.8,9.4,$249,10
Butterfly Kazan,7.0,8.0,7.0,7.5,,2
Butterfly Kenny Pro,6.8,8.2,5.0,7.1,$100,1
Butterfly KENTA ALC FL,,,,,$165,0
Butterfly Kenta Matsudaira ALC,8.7,9.3,3.3,8.8,$189,4
Butterfly Keyshot,8.3,8.6,5.4,9.4,$189,8
Butterfly Keyshot Alpha,8.7,8.6,5.0,9.5,,4
Butterfly Keyshot Light,8.6,8.9,5.4,9.0,$95,19
Butterfly Kim Taek Soo,9.6,7.3,9.0,8.0,$100,4
Butterfly Kiso Hinoki V,8.0,8.9,5.0,9.1,$50,8
Butterfly Kiso Hinoki VII,8.7,8.2,6.3,9.0,$85,3
Butterfly Kitoh Pro,,,,,,0
Butterfly Klampar,,,,,,0
Butterfly Klampar Tamca Carbon 5000,,,,,,0
Butterfly Kong Linghui,7.9,8.4,3.4,8.6,$150,7
Butterfly Kong Linghui Euro,8.0,8.0,5.9,8.0,$90,16
Butterfly Kong Linghui Special,8.5,8.7,5.4,9.1,$100,12
Butterfly Korbel MagicHand,8.9,7.8,6.0,8.3,$80,3
Butterfly Korbel SK7,8.4,8.7,6.3,9.1,$80,25
Butterfly Korbel Speed,7.6,8.1,5.5,7.7,$91,9
Butterfly Kreanga Aeros Off+,9.3,8.2,7.3,9.1,$121,9
